,hardware - num zips,strap length,num compartments,num components,num colors,volume,num functionality,hardware - metal type,hardware - strap type,inner material,price,accessories_Buckle,accessories_Chain,"accessories_Chain, Turnlock",accessories_Clasp,accessories_Crystals,accessories_Lock,accessories_Logo,accessories_Other,accessories_Pieces,accessories_Strap,bag style_Clutch,bag style_Handle Bag,bag style_Purse,bag style_Shoulder Bag,bag style_Tote,major color_Beige,major color_Black,major color_Blue,major color_Brown,major color_Burgundy,major color_Gold,major color_Green,major color_Grey,major color_Multicolor,major color_Orange,major color_Pink,major color_Purple,major color_Red,major color_Silver,major color_White,major color_Yellow,skin type_Alligator,skin type_Calf,skin type_Canvas,skin type_Crocodile,skin type_Crystal,skin type_Embroidery,skin type_Epi,skin type_Lamb,skin type_Leather,skin type_Lizard,skin type_Others,skin type_Python,skin type_Snake
61,0.4900065493002787,1.0553078923806583,-0.08239108082435892,-0.44357889509669235,0.8105901776941823,-0.8092614844080444,-0.9388763158866086,4,2,4,4390,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
82,-0.967118189408445,-0.3364964007917788,-0.08239108082435892,0.539252774431273,0.11137880304194873,-0.79653404622289,0.8293407456998378,5,3,2,5200,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0.4900065493002787,1.6120296096496332,-0.08239108082435892,0.539252774431273,-0.5878325716102849,2.5957672032916332,0.8293407456998378,5,3,5,4000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,0.4900065493002787,1.0553078923806583,-0.08239108082435892,0.047836939667290315,5.7050698002598175,-0.8092614844080444,-0.9388763158866086,6,2,4,5290,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0.4900065493002787,0.7769470337461709,-0.08239108082435892,0.047836939667290315,0.8105901776941823,0.24917636149792233,-0.9388763158866086,5,3,5,31000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,-0.967118189408445,-1.4499398353297284,-0.08239108082435892,0.047836939667290315,-0.5878325716102849,0.5254169190820643,0.8293407456998378,5,3,2,37200,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,0.4900065493002787,1.0553078923806583,-0.08239108082435892,-0.44357889509669235,0.11137880304194873,-0.6451657343990673,-0.9388763158866086,4,2,0,3790,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,1.9471312880090026,1.0553078923806583,1.0813829358197091,0.047836939667290315,0.11137880304194873,-0.6451657343990673,-0.9388763158866086,5,2,5,3590,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,-0.967118189408445,-0.3364964007917788,-1.2461650974684269,-0.44357889509669235,-0.5878325716102849,0.8226582208100299,0.8293407456998378,6,3,5,8650,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,0.4900065493002787,0.7769470337461709,-0.08239108082435892,-0.44357889509669235,-0.5878325716102849,-0.6993930041112192,-0.9388763158866086,5,3,5,7400,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
